2Chr.29	69708	70352
2Chr.30	70353	70474
2Chr.31	70475	70613
2Chr.32	70614	70764
2Chr.33	70765	71469
2Chr.34	71470	71975
2Chr.35	71976	72294
2Chr.36	72295	72765
2Chr.37	72766	73008
2Chr.38	73009	73206
2Chr.39	73207	73490
2Chr.40	73491	73836
2Chr.41	73837	74345
2Chr.42	74346	74949
2Chr.43	74950	75147
2Chr.44	75148	75306
2Chr.45	75307	75405
2Chr.46	75406	75590
2Chr.47	75591	75779
2Chr.48	75780	76020
2Chr.49	76021	76147
2Chr.50	76148	76737
2Chr.51	76738	76944
2Chr.52	76945	77397
2Chr.53	77398	77705
2Chr.54	77706	78514
2Chr.55	78515	78669
2Chr.56	78670	78956
2Chr.57	78957	79432
2Chr.58	79433	79691
2Chr.59	79692	80065
2Chr.60	80066	80293
2Chr.61	80294	80628
2Chr.62	80629	80985
2Chr.63	80986	81235
2Chr.64	81236	81519
2Chr.65	81520	81617
2Chr.66	81618	82280
2Chr.67	82281	82518
2Chr.68	82519	82703
2Chr.69	82704	82850
2Chr.70	82851	83394
2Chr.71	83395	83553
2Chr.72	83554	83636
2Chr.73	83637	83692
2Chr.74	83693	83977
2Kgs.1	83978	84593
2Kgs.2	84594	84632
2Kgs.3	84633	85256
2Kgs.4	85257	85331
2Kgs.5	85332	86045
2Kgs.6	86046	86247
2Kgs.7	86248	86986
2Kgs.8	86987	87181
2Kgs.9	87182	88133
2Kgs.10	88134	88561
2Kgs.11	88562	89786
2Kgs.12	89787	90036
2Kgs.13	90037	90250
2Kgs.14	90251	90394
2Kgs.15	90395	91201
2Kgs.16	91202	91399
2Kgs.17	91400	91912
2Kgs.18	91913	92426
2Kgs.19	92427	92513
2Kgs.20	92514	93085
2Kgs.21	93086	93201
2Kgs.22	93202	93528
2Kgs.23	93529	93678
2Kgs.24	93679	93907
2Kgs.25	93908	94012
2Kgs.26	94013	94231
2Kgs.27	94232	94330
2Kgs.28	94331	94511
2Kgs.29	94512	94783
2Kgs.30	94784	94899
2Kgs.31	94900	95091
2Kgs.32	95092	95245
2Kgs.33	95246	95352
2Kgs.34	95353	95457
2Kgs.35	95458	95611
2Kgs.36	95612	95714
2Kgs.37	95715	95864
2Kgs.38	95865	96010
2Kgs.39	96011	96169
2Kgs.40	96170	96632
2Kgs.41	96633	96777
2Kgs.42	96778	97228
2Kgs.43	97229	97725
2Kgs.44	97726	97916
2Kgs.45	97917	98025
2Kgs.46	98026	98145
2Kgs.47	98146	99133
2Kgs.48	99134	99674
2Kgs.49	99675	99958
2Kgs.50	99959	100245
2Kgs.51	100246	100534
2Kgs.52	100535	100730
2Kgs.53	100731	100887
2Kgs.54	100888	100936
2Kgs.55	100937	102623
2Kgs.56	102624	102993
2Kgs.57	102994	103258
2Kgs.58	103259	103936
2Kgs.59	103937	104094
2Sam.1	104095	104768
2Sam.2	104769	104954
2Sam.3	104955	105007
2Sam.4	105008	105708
2Sam.5	105709	106434
2Sam.6	106435	106497
2Sam.7	106498	106642
2Sam.8	106643	106692
2Sam.9	106693	107088
2Sam.10	107089	107190
2Sam.11	107191	107356
2Sam.12	107357	107460
2Sam.13	107461	107587
2Sam.14	107588	107668
2Sam.15	107669	108280
2Sam.16	108281	109024
2Sam.17	109025	109452
2Sam.18	109453	109799
2Sam.19	109800	110304
2Sam.20	110305	111066
2Sam.21	111067	111772
2Sam.22	111773	111936
2Sam.23	111937	112522
2Sam.24	112523	112848
2Sam.25	112849	113192
2Sam.26	113193	113479
2Sam.27	113480	113692
2Sam.28	113693	113800
2Sam.29	113801	113878
2Sam.30	113879	113996
2Sam.31	113997	114165
2Sam.32	114166	114235
2Sam.33	114236	115421
2Sam.34	115422	115552
2Sam.35	115553	116032
2Sam.36	116033	118440
2Sam.37	118441	119471
2Sam.38	119472	120111
2Sam.39	120112	120206
2Sam.40	120207	120237
2Sam.41	120238	120341
2Sam.42	120342	120947
2Sam.43	120948	121080
2Sam.44	121081	121700
2Sam.45	121701	122014
2Sam.46	122015	122256
Amos.1	122257	122535
Amos.2	122536	122601
Amos.3	122602	122660
Amos.4	122661	122699
Amos.5	122700	122743
Amos.6	122744	122803
Amos.7	122804	122864
Amos.8	122865	122909
Amos.9	122910	123142
Amos.10	123143	123340
Amos.11	123341	124285
Amos.12	124286	124412
Amos.13	124413	124744
Amos.14	124745	125005
Amos.15	125006	125597
Dan.1	125598	126195
Dan.2	126196	126504
Dan.3	126505	126572
Dan.4	126573	126864
Dan.5	126865	127333
Dan.6	127334	127436
Dan.7	127437	128052
Dan.8	128053	128304
Dan.9	128305	128993
Dan.10	128994	129267
Dan.11	129268	129599
Dan.12	129600	129721
Dan.13	129722	130071
Dan.14	130072	130894
Dan.15	130895	131294
Dan.16	131295	131618
Dan.17	131619	132284
Dan.18	132285	133045
Dan.19	133046	133119
Dan.20	133120	133587
Dan.21	133588	134729
Dan.22	134730	134860
Deut.1	134861	137601
Deut.2	137602	138228
Deut.3	138229	138688
Deut.4	138689	138892
Deut.5	138893	139729
Deut.6	139730	140462
Deut.7	140463	140836
Deut.8	140837	141245
Deut.9	141246	141291
Deut.10	141292	142091
Deut.11	142092	142383
Deut.12	142384	144294
Deut.13	144295	145157
Deut.14	145158	145831
Deut.15	145832	145925
Deut.16	145926	146220
Deut.17	146221	146645
Deut.18	146646	148574
Deut.19	148575	149275
Deut.20	149276	151290
Deut.21	151291	151364
Deut.22	151365	152450
Deut.23	152451	154043
Deut.24	154044	154227
Deut.25	154228	155039
Deut.26	155040	155318
Deut.27	155319	155466
Deut.28	155467	155694
Deut.29	155695	156220
Deut.30	156221	156884
Deut.31	156885	156999
Deut.32	157000	157130
Eccl.1	157131	158138
